,date,price
199,20150128  09:49:00,203.28
200,20150128  09:50:00,203.28
201,20150128  09:51:00,203.3
202,20150128  09:52:00,203.37
203,20150128  09:53:00,203.24
204,20150128  09:54:00,203.17
205,20150128  09:55:00,203.29
206,20150128  09:56:00,203.27
207,20150128  09:57:00,203.18
208,20150128  09:58:00,203.13
209,20150128  09:59:00,203.13
210,20150128  10:00:00,203.03
211,20150128  10:01:00,202.98
212,20150128  10:02:00,203.03
213,20150128  10:03:00,203.06
214,20150128  10:04:00,203.03
215,20150128  10:05:00,203.01
216,20150128  10:06:00,203.04
217,20150128  10:07:00,203.01
218,20150128  10:08:00,203.09
219,20150128  10:09:00,203.07
220,20150128  10:10:00,203.05
221,20150128  10:11:00,203.0
222,20150128  10:12:00,202.92
223,20150128  10:13:00,202.86
224,20150128  10:14:00,202.87
225,20150128  10:15:00,202.9
226,20150128  10:16:00,202.94
227,20150128  10:17:00,202.94
228,20150128  10:18:00,202.91
229,20150128  10:19:00,202.87
230,20150128  10:20:00,202.94
231,20150128  10:21:00,202.94
232,20150128  10:22:00,202.95
233,20150128  10:23:00,202.93
234,20150128  10:24:00,202.95
235,20150128  10:25:00,202.92
236,20150128  10:26:00,202.84
237,20150128  10:27:00,202.83
238,20150128  10:28:00,202.85
239,20150128  10:29:00,202.83
240,20150128  10:30:00,202.83
241,20150128  10:31:00,202.91
242,20150128  10:32:00,202.97
243,20150128  10:33:00,203.1
244,20150128  10:34:00,203.1
245,20150128  10:35:00,203.02
246,20150128  10:36:00,203.05
247,20150128  10:37:00,203.06
248,20150128  10:38:00,203.08
249,20150128  10:39:00,203.07
250,20150128  10:40:00,203.05
251,20150128  10:41:00,203.03
252,20150128  10:42:00,202.95
253,20150128  10:43:00,202.93
254,20150128  10:44:00,202.98
255,20150128  10:45:00,202.97
256,20150128  10:46:00,203.03
257,20150128  10:47:00,203.06
258,20150128  10:48:00,203.11
259,20150128  10:49:00,203.04
260,20150128  10:50:00,203.14
261,20150128  10:51:00,203.18
262,20150128  10:52:00,203.14
263,20150128  10:53:00,203.11
264,20150128  10:54:00,203.09
265,20150128  10:55:00,203.0
266,20150128  10:56:00,203.06
267,20150128  10:57:00,203.0
268,20150128  10:58:00,202.76
269,20150128  10:59:00,202.75
270,20150128  11:00:00,203.24
271,20150128  11:01:00,203.4
272,20150128  11:02:00,203.22
273,20150128  11:03:00,203.31
274,20150128  11:04:00,203.16
275,20150128  11:05:00,203.13
276,20150128  11:06:00,203.02
277,20150128  11:07:00,202.8
278,20150128  11:08:00,202.87
279,20150128  11:09:00,202.58
280,20150128  11:10:00,202.41
281,20150128  11:11:00,202.27
282,20150128  11:12:00,202.23
283,20150128  11:13:00,202.32
284,20150128  11:14:00,202.57
285,20150128  11:15:00,202.53
286,20150128  11:16:00,202.43
287,20150128  11:17:00,202.77
