Last,508,20190417 16:51:31,79.49,820,DRCTEDGE,T,False,False
Last,508,20190417 16:54:20,79.49,128,FINRA,T,False,False
Last,508,20190417 16:54:20,79.49,872,FINRA,T,False,False
Last,508,20190417 16:54:20,79.48,904,ARCA,FT,False,False
Last,508,20190417 16:55:11,79.46,316,FINRA,T,False,False
Last,508,20190417 16:55:59,79.49,400,ARCA,FT,False,False
Last,508,20190417 16:56:09,79.49,400,FINRA,T,False,False
Last,508,20190417 16:56:26,79.4,100,ISLAND,FT,False,False
Last,508,20190417 16:56:26,79.4,350,ARCA,FT,False,False
Last,508,20190417 16:58:15,79.45,200,ISLAND,FT,False,False
Last,508,20190417 16:58:32,79.4,450,ARCA,FT,False,False
Last,508,20190417 16:58:54,79.4,678,ARCA,T,False,False
Last,508,20190417 16:59:38,79.4,200,FINRA,T,False,False
